title,createdAt,qua
#影片 6月12，香港tvb新聞台不敢播的畫面,2019-06-13,119
現在香港的一切都是在警告我們,2019-06-13,119
郭台銘稱一國兩制在港失敗 國台辦低調回應,2019-06-13,119
#香港 兩天突破10萬！,2019-06-13,119
香港,2019-06-13,119
#速報 香港建制派今早續開大會,2019-06-13,119
血腥慎入）香港朋友，辛苦了,2019-06-13,119
不要再拿反送中叫我投蔡英文,2019-06-13,119
香港暴動五毛大量在本版出沒,2019-06-13,119
支持英國政府收回香港,2019-06-13,119
關於香港事件與反韓,2019-06-13,119
反送中讓我想到的電影 #我只是個計程車司機（光州事件）,2019-06-13,119
#香港 #台灣 #自由 請為台灣的未來出一份力,2019-06-13,119
反修例運動拖累香港法治,2019-06-13,119
港警？武警？軍警？,2019-06-13,119
白宮連署過10萬門檻,2019-06-13,119
反送中全球聯署 幫推,2019-06-13,119
我<U+5BF9>本次香港暴<U+4E71>帖文的<U+58F0>明,2019-06-13,119
轉發 其實連香港人都不相信郭台銘,2019-06-13,119
今日的反送中直播,2019-06-13,119
反送中的香港警察是真是假啊？,2019-06-13,119
香港反送中 台灣藝人呢？,2019-06-13,119
(內含引致不安圖和影片)請關注香港的人權情況,2019-06-13,119
香港反送中 個人立場（文長）,2019-06-13,119
反送中實際情況,2019-06-13,119
看著香港 想著台灣,2019-06-13,119
香港更新,2019-06-13,119
中國香港各界人士贊“八不移交”“六修訂”充分保障人權,2019-06-13,119
香港想告訴我們的,2019-06-13,119
香港暴動者　有蓄謀有組織,2019-06-13,119
反送中遊行之大陸人看法,2019-06-13,119
反送中連署，對抗中共恐怖份子暴行，幫高調連署,2019-06-13,119
#香港加油 #即使我插不上任何一點力氣，只能默默在螢幕前哭泣,2019-06-13,119
罪犯條例討論,2019-06-13,119
今日香港明日台灣?,2019-06-13,119
一堆反送中跟風限時動態,2019-06-13,119
香港反送中遊行千萬不要動用暴力,2019-06-13,119
問反送中 搞不懂餒QQ,2019-06-13,119
當香港在努力的時候台灣的新黨在那邊亂,2019-06-13,119
反送中 疑問,2019-06-13,119
送中條款之柯文哲,2019-06-13,119
反送中有人中彈過世了？,2019-06-13,119
幫高調！是否有一名香港男子死了,2019-06-13,119
反送中內容 一人一愛心,2019-06-13,119
#反送中，請別再說與你無關,2019-06-13,119
這次反送中事件帶給我的想法,2019-06-13,119
香港政府本來就中國的啊？,2019-06-13,119
反送中 除了轉發 我們還能做什麼,2019-06-13,119
中國朋友對於香港事件的看法,2019-06-13,119
想問：香港要回歸中國的那年，香港有權利選擇不回歸嗎？,2019-06-13,119
反送中,2019-06-13,119
淺顯易懂的反送中事件比喻,2019-06-13,119
香港主流民意支持特區修訂《逃犯條例》 避免香港成“逃犯天堂”,2019-06-13,119
反送中傷者……,2019-06-13,119
#新聞  何韻詩「肉身對抗」香港鎮暴部隊！　1人保護60平民…17分鐘英勇片瘋傳,2019-06-13,119
希望台灣與其他國家政府提供香港百姓戰爭武器,2019-06-13,119
今日香港，明日台灣。,2019-06-13,119
大陸網站香港歌曲封殺,2019-06-13,119
香港反送中議題看法,2019-06-13,119
香港加油~~,2019-06-13,119
我是香港僑生，六一二「反送中」在最前線被催淚瓦斯嗆傷，北部會有醫師會願意為我給醫療證明書嗎？,2019-06-13,119
外交部：譴責暴力行為，支持香港特區政府依法予以處置,2019-06-13,119
香港老虎堂老闆罵請假去反送中的員工,2019-06-13,119
歐盟對香港修例表態 外交部：堅決反對,2019-06-13,119
反送中是香港的事，與台灣無關,2019-06-13,119
香港主權轉移,2019-06-13,119
香港台灣情況不太一樣,2019-06-13,119
真的不能在外面看反送中的新聞,2019-06-13,119
